train_task,eval_task,threshold,degater_accuracy,avg_activated_models,random_baseline_accuracy,degater_acc_mean,degater_acc_std,avg_act_mean,avg_act_std,random_acc_mean,random_acc_std
GSM8K,MMLU,0.1,0.6845+-0.0013,10.00+-0.00,0.6845+-0.0013,0.6844919786096257,0.0012854015242295565,10.0,0.0,0.6844919786096257,0.0012854015242295565
GSM8K,MMLU,0.2,0.6845+-0.0013,10.00+-0.00,0.6845+-0.0013,0.6844919786096257,0.0012854015242295565,10.0,0.0,0.6844919786096257,0.0012854015242295565
GSM8K,MMLU,0.3,0.6843+-0.0018,9.89+-0.09,0.6831+-0.0027,0.6842543077837195,0.0017586035159772517,9.892691622103387,0.08983179096540424,0.683065953654189,0.0026915630785279043
GSM8K,MMLU,0.4,0.6932+-0.0017,6.87+-0.14,0.6706+-0.0084,0.693166963755199,0.001684782754457237,6.872370766488413,0.13752687363163513,0.6705882352941176,0.008428941474179582
GSM8K,MMLU,0.5,0.6877+-0.0027,4.96+-0.15,0.6532+-0.0008,0.6877005347593582,0.0026915630785279043,4.962923351158646,0.14671043917019658,0.6532382650029708,0.0008233158918925349
GSM8K,MMLU,0.6,0.7090+-0.0140,2.37+-0.11,0.6021+-0.0043,0.708972073677956,0.01404622516544423,2.3748068924539516,0.10905264980621203,0.6021390374331551,0.004322408432435698
GSM8K,MMLU,0.7,0.6683+-0.0184,1.02+-0.02,0.5481+-0.0031,0.6683303624480095,0.018374199203552065,1.0167557932263815,0.01537943287709308,0.5480689245395128,0.0030736820336012887
GSM8K,MMLU,0.8,0.6673+-0.0180,1.00+-0.00,0.5469+-0.0023,0.6672608437314319,0.018010917237716657,1.0,0.0,0.5468805704099822,0.002337767744849146
GSM8K,MMLU,0.9,0.6673+-0.0180,1.00+-0.00,0.5469+-0.0023,0.6672608437314319,0.018010917237716657,1.0,0.0,0.5468805704099822,0.002337767744849146
MMLU,GSM8K,0.1,0.8582+-0.0000,10.00+-0.00,0.8729+-0.0029,0.8582259287338894,0.0,10.0,0.0,0.8728834975991914,0.0028703100054588396
MMLU,GSM8K,0.2,0.8582+-0.0000,10.00+-0.00,0.8729+-0.0029,0.8582259287338894,0.0,10.0,0.0,0.8728834975991914,0.0028703100054588396
MMLU,GSM8K,0.3,0.8582+-0.0000,10.00+-0.00,0.8729+-0.0029,0.8582259287338894,0.0,10.0,0.0,0.8728834975991914,0.0028703100054588396
MMLU,GSM8K,0.4,0.8595+-0.0022,9.86+-0.14,0.8704+-0.0047,0.8594895122567602,0.0021885908612191856,9.85948951225676,0.13609868017015506,0.8703563305534496,0.00473464594268263
MMLU,GSM8K,0.5,0.9232+-0.0035,4.30+-0.27,0.7710+-0.0151,0.9231741218094517,0.003501745377950723,4.301491028556987,0.2689289297167748,0.7710386656557998,0.015144036660680961
MMLU,GSM8K,0.6,0.9052+-0.0038,1.15+-0.10,0.6048+-0.0107,0.9052312357846853,0.003790750568612611,1.1475865554713165,0.10137783443475301,0.6047510740459945,0.010650142787821818
MMLU,GSM8K,0.7,0.9105+-0.0000,1.00+-0.00,0.6048+-0.0107,0.910538286580743,0.0,1.0,0.0,0.6047510740459945,0.010650142787821818
MMLU,GSM8K,0.8,0.9105+-0.0000,1.00+-0.00,0.6048+-0.0107,0.910538286580743,0.0,1.0,0.0,0.6047510740459945,0.010650142787821818
MMLU,GSM8K,0.9,0.9105+-0.0000,1.00+-0.00,0.6048+-0.0107,0.910538286580743,0.0,1.0,0.0,0.6047510740459945,0.010650142787821818
